Category: All categories

Week,natural gas: (Worldwide)
2014-03-30,95
2014-04-06,91
2014-04-13,81
2014-04-20,85
2014-04-27,84
2014-05-04,88
2014-05-11,86
2014-05-18,88
2014-05-25,84
2014-06-01,86
2014-06-08,79
2014-06-15,78
2014-06-22,75
2014-06-29,74
2014-07-06,77
2014-07-13,78
2014-07-20,78
2014-07-27,78
2014-08-03,74
2014-08-10,74
2014-08-17,74
2014-08-24,76
2014-08-31,83
2014-09-07,81
2014-09-14,81
2014-09-21,84
2014-09-28,87
2014-10-05,85
2014-10-12,88
2014-10-19,91
2014-10-26,86
2014-11-02,97
2014-11-09,100
2014-11-16,100
2014-11-23,81
2014-11-30,96
2014-12-07,91
2014-12-14,84
2014-12-21,64
2014-12-28,78
2015-01-04,90
2015-01-11,94
2015-01-18,92
2015-01-25,91
2015-02-01,94
2015-02-08,87
2015-02-15,91
2015-02-22,94
2015-03-01,92
2015-03-08,88
2015-03-15,86
2015-03-22,83
2015-03-29,74
2015-04-05,85
2015-04-12,90
2015-04-19,83
2015-04-26,83
2015-05-03,84
2015-05-10,82
2015-05-17,83
2015-05-24,79
2015-05-31,82
2015-06-07,78
2015-06-14,75
2015-06-21,76
2015-06-28,75
2015-07-05,74
2015-07-12,75
2015-07-19,70
2015-07-26,73
2015-08-02,70
2015-08-09,72
2015-08-16,73
2015-08-23,73
2015-08-30,80
2015-09-06,73
2015-09-13,77
2015-09-20,77
2015-09-27,85
2015-10-04,84
2015-10-11,80
2015-10-18,87
2015-10-25,93
2015-11-01,86
2015-11-08,81
2015-11-15,85
2015-11-22,80
2015-11-29,87
2015-12-06,82
2015-12-13,83
2015-12-20,60
2015-12-27,70
2016-01-03,79
2016-01-10,77
2016-01-17,82
2016-01-24,78
2016-01-31,80
2016-02-07,79
2016-02-14,77
2016-02-21,82
2016-02-28,83
2016-03-06,81
2016-03-13,76
2016-03-20,64
2016-03-27,72
2016-04-03,81
2016-04-10,77
2016-04-17,76
2016-04-24,78
2016-05-01,79
2016-05-08,74
2016-05-15,79
2016-05-22,77
2016-05-29,75
2016-06-05,73
2016-06-12,71
2016-06-19,67
2016-06-26,72
2016-07-03,70
2016-07-10,69
2016-07-17,64
2016-07-24,65
2016-07-31,63
2016-08-07,62
2016-08-14,58
2016-08-21,62
2016-08-28,65
2016-09-04,69
2016-09-11,73
2016-09-18,72
2016-09-25,73
2016-10-02,75
2016-10-09,77
2016-10-16,76
2016-10-23,77
2016-10-30,75
2016-11-06,77
2016-11-13,85
2016-11-20,74
2016-11-27,82
2016-12-04,81
2016-12-11,80
2016-12-18,69
2016-12-25,63
2017-01-01,78
2017-01-08,82
2017-01-15,77
2017-01-22,80
2017-01-29,81
2017-02-05,78
2017-02-12,79
2017-02-19,81
2017-02-26,81
2017-03-05,81
2017-03-12,76
2017-03-19,78
2017-03-26,80
2017-04-02,81
2017-04-09,68
2017-04-16,75
2017-04-23,81
2017-04-30,81
2017-05-07,81
2017-05-14,74
2017-05-21,75
2017-05-28,79
2017-06-04,77
2017-06-11,74
2017-06-18,69
2017-06-25,69
2017-07-02,72
2017-07-09,69
2017-07-16,68
2017-07-23,67
2017-07-30,72
2017-08-06,67
2017-08-13,65
2017-08-20,66
2017-08-27,72
2017-09-03,74
2017-09-10,74
2017-09-17,75
2017-09-24,73
2017-10-01,81
2017-10-08,77
2017-10-15,79
2017-10-22,79
2017-10-29,83
2017-11-05,86
2017-11-12,87
2017-11-19,79
2017-11-26,86
2017-12-03,88
2017-12-10,89
2017-12-17,77
2017-12-24,75
2017-12-31,96
2018-01-07,91
2018-01-14,91
2018-01-21,86
2018-01-28,90
2018-02-04,87
2018-02-11,80
2018-02-18,82
2018-02-25,86
2018-03-04,86
2018-03-11,81
2018-03-18,80
2018-03-25,71
2018-04-01,80
2018-04-08,81
2018-04-15,79
2018-04-22,77
2018-04-29,79
2018-05-06,79
2018-05-13,80
2018-05-20,80
2018-05-27,78
2018-06-03,79
2018-06-10,73
2018-06-17,68
2018-06-24,72
2018-07-01,71
2018-07-08,72
2018-07-15,72
2018-07-22,69
2018-07-29,73
2018-08-05,68
2018-08-12,65
2018-08-19,65
2018-08-26,69
2018-09-02,69
2018-09-09,75
2018-09-16,74
2018-09-23,76
2018-09-30,78
2018-10-07,80
2018-10-14,81
2018-10-21,79
2018-10-28,78
2018-11-04,82
2018-11-11,95
2018-11-18,79
2018-11-25,86
2018-12-02,79
2018-12-09,80
2018-12-16,73
2018-12-23,59
2018-12-30,68
2019-01-06,76
2019-01-13,85
2019-01-20,77
2019-01-27,90
2019-02-03,83
2019-02-10,75
2019-02-17,73
2019-02-24,76
2019-03-03,74
2019-03-10,70
2019-03-17,71
2019-03-24,66
