Week,Petroleum: (Worldwide)
2014-03-30,29
2014-04-06,27
2014-04-13,24
2014-04-20,26
2014-04-27,25
2014-05-04,27
2014-05-11,28
2014-05-18,29
2014-05-25,27
2014-06-01,27
2014-06-08,25
2014-06-15,26
2014-06-22,23
2014-06-29,22
2014-07-06,22
2014-07-13,23
2014-07-20,21
2014-07-27,22
2014-08-03,23
2014-08-10,24
2014-08-17,26
2014-08-24,25
2014-08-31,26
2014-09-07,29
2014-09-14,29
2014-09-21,29
2014-09-28,30
2014-10-05,32
2014-10-12,41
2014-10-19,39
2014-10-26,37
2014-11-02,42
2014-11-09,40
2014-11-16,40
2014-11-23,49
2014-11-30,60
2014-12-07,64
2014-12-14,77
2014-12-21,51
2014-12-28,48
2015-01-04,72
2015-01-11,76
2015-01-18,66
2015-01-25,58
2015-02-01,70
2015-02-08,60
2015-02-15,57
2015-02-22,53
2015-03-01,50
2015-03-08,50
2015-03-15,53
2015-03-22,47
2015-03-29,43
2015-04-05,46
2015-04-12,46
2015-04-19,44
2015-04-26,42
2015-05-03,44
2015-05-10,41
2015-05-17,44
2015-05-24,39
2015-05-31,39
2015-06-07,37
2015-06-14,32
2015-06-21,30
2015-06-28,30
2015-07-05,36
2015-07-12,34
2015-07-19,35
2015-07-26,38
2015-08-02,40
2015-08-09,44
2015-08-16,49
2015-08-23,64
2015-08-30,55
2015-09-06,45
2015-09-13,43
2015-09-20,38
2015-09-27,38
2015-10-04,42
2015-10-11,41
2015-10-18,38
2015-10-25,39
2015-11-01,37
2015-11-08,40
2015-11-15,44
2015-11-22,40
2015-11-29,43
2015-12-06,55
2015-12-13,58
2015-12-20,45
2015-12-27,40
2016-01-03,57
2016-01-10,80
2016-01-17,100
2016-01-24,82
2016-01-31,73
2016-02-07,69
2016-02-14,70
2016-02-21,63
2016-02-28,61
2016-03-06,67
2016-03-13,61
2016-03-20,52
2016-03-27,52
2016-04-03,54
2016-04-10,56
2016-04-17,61
2016-04-24,54
2016-05-01,52
2016-05-08,50
2016-05-15,53
2016-05-22,51
2016-05-29,46
2016-06-05,46
2016-06-12,42
2016-06-19,42
2016-06-26,38
2016-07-03,35
2016-07-10,36
2016-07-17,34
2016-07-24,38
2016-07-31,40
2016-08-07,36
2016-08-14,37
2016-08-21,38
2016-08-28,37
2016-09-04,39
2016-09-11,37
2016-09-18,37
2016-09-25,43
2016-10-02,43
2016-10-09,43
2016-10-16,39
2016-10-23,38
2016-10-30,41
2016-11-06,42
2016-11-13,43
2016-11-20,39
2016-11-27,52
2016-12-04,43
2016-12-11,45
2016-12-18,36
2016-12-25,32
2017-01-01,37
2017-01-08,38
2017-01-15,36
2017-01-22,37
2017-01-29,35
2017-02-05,34
2017-02-12,34
2017-02-19,33
2017-02-26,34
2017-03-05,40
2017-03-12,39
2017-03-19,36
2017-03-26,36
2017-04-02,36
2017-04-09,32
2017-04-16,32
2017-04-23,33
2017-04-30,34
2017-05-07,35
2017-05-14,34
2017-05-21,33
2017-05-28,33
2017-06-04,34
2017-06-11,32
2017-06-18,34
2017-06-25,33
2017-07-02,30
2017-07-09,30
2017-07-16,28
2017-07-23,30
2017-07-30,31
2017-08-06,28
2017-08-13,28
2017-08-20,29
2017-08-27,29
2017-09-03,29
2017-09-10,30
2017-09-17,30
2017-09-24,33
2017-10-01,31
2017-10-08,29
2017-10-15,30
2017-10-22,31
2017-10-29,33
2017-11-05,37
2017-11-12,35
2017-11-19,31
2017-11-26,33
2017-12-03,31
2017-12-10,30
2017-12-17,26
2017-12-24,25
2017-12-31,28
2018-01-07,34
2018-01-14,34
2018-01-21,32
2018-01-28,32
2018-02-04,33
2018-02-11,31
2018-02-18,30
2018-02-25,31
2018-03-04,29
2018-03-11,29
2018-03-18,30
2018-03-25,28
2018-04-01,29
2018-04-08,34
2018-04-15,36
2018-04-22,33
2018-04-29,30
2018-05-06,39
2018-05-13,35
2018-05-20,41
2018-05-27,37
2018-06-03,32
2018-06-10,28
2018-06-17,28
2018-06-24,27
2018-07-01,27
2018-07-08,27
2018-07-15,27
2018-07-22,25
2018-07-29,26
2018-08-05,27
2018-08-12,26
2018-08-19,26
2018-08-26,28
2018-09-02,29
2018-09-09,30
2018-09-16,29
2018-09-23,33
2018-09-30,37
2018-10-07,33
2018-10-14,33
2018-10-21,34
2018-10-28,34
2018-11-04,36
2018-11-11,41
2018-11-18,42
2018-11-25,44
2018-12-02,42
2018-12-09,34
2018-12-16,39
2018-12-23,36
2018-12-30,31
2019-01-06,35
2019-01-13,32
2019-01-20,32
2019-01-27,33
2019-02-03,31
2019-02-10,29
2019-02-17,42
2019-02-24,45
2019-03-03,41
2019-03-10,35
2019-03-17,30
2019-03-24,27
